month,route,flights
2020-04-01,Darwin - Melbourne,0
2020-05-01,Darwin - Melbourne,0
2020-06-01,Darwin - Melbourne,0
2020-07-01,Darwin - Melbourne,na
2020-08-01,Darwin - Melbourne,na
2020-09-01,Darwin - Melbourne,na
2019-10-01,Darwin - Perth,123
2019-11-01,Darwin - Perth,120
2019-12-01,Darwin - Perth,124
2020-01-01,Darwin - Perth,124
2020-02-01,Darwin - Perth,116
2020-03-01,Darwin - Perth,108
2020-04-01,Darwin - Perth,8
2020-05-01,Darwin - Perth,na
2020-06-01,Darwin - Perth,na
2020-07-01,Darwin - Perth,na
2020-08-01,Darwin - Perth,na
2020-09-01,Darwin - Perth,na
2019-10-01,Darwin - Sydney,215
2019-11-01,Darwin - Sydney,160
2019-12-01,Darwin - Sydney,168
2020-01-01,Darwin - Sydney,161
2020-02-01,Darwin - Sydney,117
2020-03-01,Darwin - Sydney,146
2020-04-01,Darwin - Sydney,0
2020-05-01,Darwin - Sydney,0
2020-06-01,Darwin - Sydney,0
2020-07-01,Darwin - Sydney,na
2020-08-01,Darwin - Sydney,na
2020-09-01,Darwin - Sydney,na
2019-10-01,Hobart - Melbourne,939
2019-11-01,Hobart - Melbourne,946
2019-12-01,Hobart - Melbourne,1107
2020-01-01,Hobart - Melbourne,1095
2020-02-01,Hobart - Melbourne,948
2020-03-01,Hobart - Melbourne,772
2020-04-01,Hobart - Melbourne,na
2020-05-01,Hobart - Melbourne,na
2020-06-01,Hobart - Melbourne,na
2020-07-01,Hobart - Melbourne,na
2020-08-01,Hobart - Melbourne,na
2020-09-01,Hobart - Melbourne,na
2019-10-01,Hobart - Sydney,479
2019-11-01,Hobart - Sydney,492
2019-12-01,Hobart - Sydney,569
2020-01-01,Hobart - Sydney,539
2020-02-01,Hobart - Sydney,470
2020-03-01,Hobart - Sydney,356
2020-04-01,Hobart - Sydney,0
2020-05-01,Hobart - Sydney,0
2020-06-01,Hobart - Sydney,0
2020-07-01,Hobart - Sydney,na
2020-08-01,Hobart - Sydney,na
2020-09-01,Hobart - Sydney,na
2019-10-01,Hamilton Island - Melbourne,na
2019-11-01,Hamilton Island - Melbourne,68
2019-12-01,Hamilton Island - Melbourne,71
2020-01-01,Hamilton Island - Melbourne,76
2020-02-01,Hamilton Island - Melbourne,50
2020-03-01,Hamilton Island - Melbourne,38
